Video ID,Title,Comment
he8qfww8uTE,Delaware State University Football vs Lincoln University,Why did you cut out the halftime show?
2iKU8thomnI,SOCCER/FOOTBALL MOD!! (GTA 5 Mods),Thanks for watching! If you enjoyed this livestream be sure to press that like button + subscribe and turn on post notifications for more! :D
2iKU8thomnI,SOCCER/FOOTBALL MOD!! (GTA 5 Mods),Messi is the best soccer player ⚽️⚽️
2iKU8thomnI,SOCCER/FOOTBALL MOD!! (GTA 5 Mods),Hiii
2iKU8thomnI,SOCCER/FOOTBALL MOD!! (GTA 5 Mods),Damn I didn't have cross bars had a face
2iKU8thomnI,SOCCER/FOOTBALL MOD!! (GTA 5 Mods),My is messi
2iKU8thomnI,SOCCER/FOOTBALL MOD!! (GTA 5 Mods),Youare the best YouTuber
zSa0bTAOk10,Roblox NFL Football - Chiefs vs Rams! (Roblox NFL 2),"Go check out dimerdillon for some awesome roblox football videos! Just remember when I ""trash talk"" its just a character. However a 1v1 against us would be really fun. Like if you want to see me 1v1 dimer"
zSa0bTAOk10,Roblox NFL Football - Chiefs vs Rams! (Roblox NFL 2),You're a friend passer
zSa0bTAOk10,Roblox NFL Football - Chiefs vs Rams! (Roblox NFL 2),Bruh stop using clickbait
zSa0bTAOk10,Roblox NFL Football - Chiefs vs Rams! (Roblox NFL 2),A game called
zSa0bTAOk10,Roblox NFL Football - Chiefs vs Rams! (Roblox NFL 2),When you can’t afford madden 20 lol
zSa0bTAOk10,Roblox NFL Football - Chiefs vs Rams! (Roblox NFL 2),I have madden 19 in PS4
H-sEw2R2yIU,Nepal Vs Maldives Football Live - 13th South Asian Games,Great
H-sEw2R2yIU,Nepal Vs Maldives Football Live - 13th South Asian Games,Hoina Nepal ko star ⭐️ kheladi haru xaina ta ho???
H-sEw2R2yIU,Nepal Vs Maldives Football Live - 13th South Asian Games,K ho Nepali ma commentary garna mildaina... Kati nai English khatra boleko jasto lagchha hola
H-sEw2R2yIU,Nepal Vs Maldives Football Live - 13th South Asian Games,Verry good nepali team जय नेपाल🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵
H-sEw2R2yIU,Nepal Vs Maldives Football Live - 13th South Asian Games,Npl king
H-sEw2R2yIU,Nepal Vs Maldives Football Live - 13th South Asian Games,Congrats Nepali team
dJgjG8vtG_k,Galax V Patrick Henry Group A State Semi-final football,"Thank You Maroon Tide for a great streaming season! Please Note: do to legal restrictions, we are not permitted to stream the State Football game next saturday. If you wish to see this game we suggest coming or streaming on the NFHS network online. Thank you for your patience! Roll On!"
W_GSBDc6LVM,Sun Belt Conference Football Championship Game Press Conference,"LAME!!! Commissioner Gill if you want to grow the league fight to get your best teams to the beat bowl possible. Other conferences have flexibility, and then our #1 doesn’t even get C-USAs best! That’s demeaning and then fans are going to stop traveling to the same place to watch a lesser game."
_uIvJzLO7t4,EVERTON vs CHELSEA With Mark Goldbridge LIVE,"Everton's 1st goal - 4:44 


Everton's 2nd goal - 1:06:37


Chelsea's reply - 1:09:41


Everton's 3rd goal - 1:41:09"
_uIvJzLO7t4,EVERTON vs CHELSEA With Mark Goldbridge LIVE,"4:43 -  Everton's 1st Goal 
1:06:35 - Everton's 2nd Goal
1:09:40 - Chelsea 1st goal
1:41:05 -  Everton's 3rd goal 

And Thank You :)"
_uIvJzLO7t4,EVERTON vs CHELSEA With Mark Goldbridge LIVE,Time stamps?
_uIvJzLO7t4,EVERTON vs CHELSEA With Mark Goldbridge LIVE,Zouma is not an intelligent defender he will cost Chelsea team a lot of loses and a lot of goals
_uIvJzLO7t4,EVERTON vs CHELSEA With Mark Goldbridge LIVE,"Fell on to this, don’t like it that much. Also he’s struggling to say ch In Richarlison. Haha typical Untied Fan"
_uIvJzLO7t4,EVERTON vs CHELSEA With Mark Goldbridge LIVE,Not an arsenal fan however i think arsenal should try and get lucas digne
M5DFaUd0bAw,Nepal vs India - Football Live |South Asian Games - 2019 | Live Football |  NEP VS IND,K ho ground yesto nepal Kai bela
M5DFaUd0bAw,Nepal vs India - Football Live |South Asian Games - 2019 | Live Football |  NEP VS IND,very good
BSw7pA668Xg,Laney vs Chabot College Football LIVE 11/16/19,Last chance U season 5 ?
